Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 9422 4685 0.000999834 4684 100 0 100% 1.33706
0.3 0.2 5217 2535 0.00099976 2534 100 0 100% 0.717469
0.3 0.3 3768 1789 0.000999999 1788 100 0 100% 0.514781
0.3 0.4 2818 1353 0.000999527 1352 100 0 100% 0.385423
0.3 0.5 1935 962 0.000999841 961 100 0 100% 0.267034
0.3 0.6 619 310 0.000999309 309 100 0 100% 0.085609
0.3 0.7 33 17 0.000925588 16 100 0 100% 0.004632
0.3 0.8 47 24 0.000995901 23 100 0 100% 0.006499
0.3 0.9 3 2 0.000644333 1 100 0 100% 0.000458
0.3 1 3 2 8.23665e-05 1 100 0 100% 0.000457
