Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 61 39 0.000540495 19 100 0 100% 0.02737
0.3 0.2 23 19 0.000644952 9 100 0 100% 0.00527
0.3 0.3 42 29 0.000297939 14 100 0 100% 0.006789
0.3 0.4 42 29 0.000170573 14 100 0 100% 0.00672
0.3 0.5 44 29 2.44808e-05 14 100 0 100% 0.006931
0.3 0.6 37 27 1.87739e-05 13 100 0 100% 0.005999
0.3 0.7 42 27 0.000222309 13 100 0 100% 0.00693
0.3 0.8 36 23 0.000431758 11 100 0 100% 0.005626
0.3 0.9 36 23 0.000119364 11 100 0 100% 0.005885
0.3 1 41 29 3.1174e-05 14 100 0 100% 0.006597
