Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 41 29 6.0656e-05 14 100 0 100% 0.018883
0.3 0.2 32 23 4.64513e-05 11 100 0 100% 0.006914
0.3 0.3 49 33 0.000108441 16 100 0 100% 0.008335
0.3 0.4 39 27 0.00093442 13 100 0 100% 0.006406
0.3 0.5 32 23 7.27122e-07 11 100 0 100% 0.005167
0.3 0.6 18 13 0.000432188 6 100 0 100% 0.00293
0.3 0.7 19 13 0.000487316 6 100 0 100% 0.003491
0.3 0.8 25 17 0.000327908 8 100 0 100% 0.003951
0.3 0.9 18 13 9.41778e-05 6 100 0 100% 0.002914
0.3 1 16 11 0.000161781 5 100 0 100% 0.002535
