Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 68 43 0.000746858 21 96 4 96% 0.011707
0.3 0.2 59 37 0.000351948 18 96 4 96% 0.009225
0.3 0.3 65 39 0.000375382 19 96 4 96% 0.010015
0.3 0.4 70 41 0.000411651 20 96 4 96% 0.011444
0.3 0.5 47 29 3.57604e-05 14 96 4 96% 0.007323
0.3 0.6 63 37 0.000461223 18 96 4 96% 0.009549
0.3 0.7 67 39 0.000815499 19 96 4 96% 0.010402
0.3 0.8 83 47 0.000564172 23 96 4 96% 0.013203
0.3 0.9 70 39 0.00078811 19 96 4 96% 0.010743
0.3 1 85 45 8.32556e-05 22 96 4 96% 0.013265
