Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.5 0.1 5836 2841 0.000999807 2840 96 4 96% 0.879892
0.5 0.2 6858 2223 0.000983287 2222 96 4 96% 0.910238
0.5 0.3 10344 2483 0.000992592 2482 96 4 96% 1.3236
0.5 0.4 13278 2674 0.000981889 2673 96 4 96% 1.66571
0.5 0.5 14589 2618 0.000998077 2617 96 4 96% 1.81414
0.5 0.6 17681 2909 0.000999961 2908 96 4 96% 2.17953
0.5 0.7 18011 2775 0.000995893 2774 96 4 96% 2.21246
0.5 0.8 22892 3323 0.000997572 3322 96 4 96% 2.79424
0.5 0.9 12748 1774 0.00098584 1773 96 4 96% 1.54784
0.5 1 23636 3156 0.000985294 3155 96 4 96% 2.88236
