Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.5 0.1 21839 10814 0.000999916 10813 100 0 100% 3.10808
0.5 0.2 12903 5924 0.0009999 5923 100 0 100% 1.82016
0.5 0.3 10552 4371 0.000999849 4370 100 0 100% 1.44478
0.5 0.4 8953 3497 0.000999768 3496 100 0 100% 1.22599
0.5 0.5 6501 2634 0.000999887 2633 100 0 100% 0.889777
0.5 0.6 3572 1628 0.00099982 1627 100 0 100% 0.499111
0.5 0.7 173 81 0.000996043 80 100 0 100% 0.02413
0.5 0.8 215 103 0.000995907 102 100 0 100% 0.030182
0.5 0.9 207 100 0.00099723 99 100 0 100% 0.029234
0.5 1 195 78 0.000996067 77 100 0 100% 0.026426
