Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 9472 4712 0.000999961 4711 100 0 100% 1.31973
0.3 0.2 5037 2449 0.000999613 2448 100 0 100% 0.690097
0.3 0.3 3849 1752 0.000999762 1751 100 0 100% 0.522612
0.3 0.4 3198 1389 0.000999328 1388 100 0 100% 0.430179
0.3 0.5 3037 1214 0.000999942 1213 100 0 100% 0.402959
0.3 0.6 145 64 0.000997667 63 100 0 100% 0.019533
0.3 0.7 2574 965 0.000998695 964 100 0 100% 0.341607
0.3 0.8 2758 938 0.000999171 937 100 0 100% 0.357948
0.3 0.9 1780 692 0.000998261 691 100 0 100% 0.235582
0.3 1 1928 694 0.000999768 693 100 0 100% 0.252256
