Valor_de_rho rho_f_objetivo #llamadas_f_objetivo #llamadas_gradiente Norma_del_gradiente #iteraciones Datos_bien_clasificados Datos_mal_clasificados Precisión Tiempo_de_cómputo
0.3 0.1 17 15 4.86645e-06 7 100 0 100% 0.003124
0.3 0.2 34 23 0.000963798 11 100 0 100% 0.005758
0.3 0.3 21 15 0.000915462 7 100 0 100% 0.003753
0.3 0.4 17 11 3.66922e-05 5 100 0 100% 0.00295
0.3 0.5 13 9 0.000289163 4 100 0 100% 0.002224
0.3 0.6 9 5 0.000124655 2 100 0 100% 0.001417
0.3 0.7 13 9 5.72089e-07 4 100 0 100% 0.002197
0.3 0.8 13 9 1.76135e-06 4 100 0 100% 0.002281
0.3 0.9 13 9 3.92557e-07 4 100 0 100% 0.002186
0.3 1 9 5 0.000359558 2 100 0 100% 0.001427
